Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW36,SW_Push_45deg,Kailh_socket_MX_no_fsilk,274.145375,-246.210575,0.0,top
SW37,SW_Push_45deg,Kailh_socket_MX_no_fsilk,169.370375,-265.260575,0.0,top
SW39,SW_Push_45deg,Kailh_socket_MX_no_fsilk,159.845375,-284.310575,0.0,top
SW4,SW_Push_45deg,Kailh_socket_MX_no_fsilk,216.995375,-227.160575,0.0,top
SW40,SW_Push_45deg,Kailh_socket_MX_no_fsilk,274.145375,-284.310575,0.0,top
SW41,SW_Push_45deg,Kailh_socket_MX_no_fsilk,164.509125,-303.360575,0.0,top
SW43,SW_Push_45deg,Kailh_socket_MX_no_fsilk,178.895375,-227.160575,0.0,top
SW45,SW_Push_45deg,Kailh_socket_MX_no_fsilk,178.895375,-246.210575,0.0,top
SW47,SW_Push_45deg,Kailh_socket_MX_no_fsilk,188.420375,-265.260575,0.0,top
SW49,SW_Push_45deg,Kailh_socket_MX_no_fsilk,178.895375,-284.310575,0.0,top
SW5,SW_Push_45deg,Kailh_socket_MX_no_fsilk,102.695375,-246.210575,0.0,top
SW51,SW_Push_45deg,Kailh_socket_MX_no_fsilk,188.420375,-303.360575,0.0,top
SW53,SW_Push_45deg,Kailh_socket_MX_no_fsilk,197.945375,-227.160575,0.0,top
SW54,SW_Push_45deg,Kailh_socket_MX_no_fsilk,197.945375,-246.210575,0.0,top
SW56,SW_Push_45deg,Kailh_socket_MX_no_fsilk,207.470375,-265.260575,0.0,top
SW58,SW_Push_45deg,Kailh_socket_MX_no_fsilk,197.945375,-284.310575,0.0,top
SW6,SW_Push_45deg,Kailh_socket_MX_no_fsilk,216.995375,-246.210575,0.0,top
SW60,SW_Push_45deg,Kailh_socket_MX_no_fsilk,212.232875,-303.360575,0.0,top
SW7,SW_Push_45deg,Kailh_socket_MX_no_fsilk,112.220375,-265.260575,0.0,top
SW8,SW_Push_45deg,Kailh_socket_MX_no_fsilk,226.520375,-265.260575,0.0,top
SW9,SW_Push_45deg,Kailh_socket_MX_no_fsilk,102.695375,-284.310575,0.0,top
U1,ATmega328P-PU,DIP-28_W7.62mm,208.145125,-197.576625,-90.0,top
Y1,16M,Crystal_HC49-4H_Vertical,196.50075,-208.57325,90.0,top
